game1.jpg,92,2932,60,808,2168,872,2124,2924
game2.jpg,152,2944,124,804,2228,900,2176,2900
game3.jpg,68,2336,504,824,2096,976,1952,2648
game4.jpg,1352,144,3028,252,3408,1924,1264,1988
game5.jpg,1372,572,2772,324,2972,1872,1092,1936
game8.jpg,215,71,809,55,863,686,163,689
game10.jpg,394,54,1582,62,1946,1252,30,1262
game9.jpg,262,64,1104,62,1243,958,100,961
game11.jpg,253,2622,418,1013,2000,1053,2053,2689
game12.jpg,231,2689,307,1071,1880,1044,2089,2636
game13.jpg,400,2791,267,1262,1698,1164,2027,2529
game14.jpg,160,2338,853,1200,2084,1627,1444,3036
game15.jpg,200,2316,711,1076,2049,1347,1609,2782
game16.jpg,236,2449,276,978,1747,964,2053,2320
game17.jpeg,86,1391,36,154,1205,109,1300,1276
game18.jpg,50,653,164,54,823,45,916,656
game19.jpg,19,322,236,42,618,74,662,429
game20.jpg,129,48,934,28,962,854,118,866
game21.jpg,182,26,594,81,513,561,17,407
game22.jpg,164,61,567,61,600,458,130,460
game23.jpg,445,2891,538,837,2522,837,2651,2885
game24.jpg,363,2961,679,930,2645,977,2873,3084
game25.jpg,135,1726,1393,293,2855,1451,1714,3008
game26.jpg,135,3493,217,813,2738,872,2838,3394
game27.jpg,310,2844,767,989,2639,1071,2768,3060
game28.jpg,205,2405,1141,843,2832,1439,2411,3283
game29.jpg,99,2569,667,579,2721,737,2662,2932
game30.jpg,1258,322,3171,655,3347,2621,807,2458
game31.jpg,181,3201,509,989,2692,854,2855,3406
game32.jpg,392,3031,170,673,2779,439,2756,3113
game33.jpg,451,3394,404,889,2709,884,2896,3171
game34.jpg,228,3283,351,1094,2323,989,2861,2996
game35.jpg,334,3289,380,690,2463,971,2744,3002
